date	race_type	level	party	special	office	district	url	path
2015-09-29	general	precinct		TRUE	State House	99	http://www.gab.wi.gov/sites/default/files/Copy%20of%20Ward%20by%20Ward%20Report%20%281%29.xlsx	20150929__wi__special__general__state_house__99__precinct.xlsx
2015-09-01	primary	precinct		TRUE	State House	99	http://www.gab.wi.gov/sites/default/files/Copy%20of%20Ward%20by%20Ward%20Report.xlsx	20150901__wi__special__primary__state_house__99__precinct.xlsx
2015-07-21	general	precinct		TRUE	State Senate	33	http://www.gab.wi.gov/sites/default/files/Ward%20by%20Ward%20Report_0.xlsx	20150721__wi__special__general__state_senate__33__precinct.xlsx
2015-06-23	primary	precinct		TRUE	State Senate	33	http://www.gab.wi.gov/sites/default/files/Ward%20by%20Ward%20Report.xlsx	20150623__wi__special__primary__state_senate__33__precinct.xlsx
2015-04-07	general	precinct		TRUE	State Senate	20	http://www.gab.wi.gov/sites/default/files/Ward%20Results%20Report-4.7.15-Special%20Election%20Senate%2020.xlsx	20150407__wi__special__general__state_senate__20__precinct.xlsx
2015-04-07	general	county		TRUE	State Senate	20	http://www.gab.wi.gov/sites/default/files/County%20Results%20Report-4.7.15%20Special%20Election%20Senate%2020.xlsx	20150407__wi__special__general__state_senate__20.xlsx
2015-02-17	primary	county		TRUE	State Senate	20	http://www.gab.wi.gov/sites/default/files/Spring%20Primary%202.17.15%20Results%20by%20County%20Report.xlsx	20150217__wi__special__primary__state_senate__20.xlsx
2015-02-17	primary	precinct		TRUE	State Senate	20	http://www.gab.wi.gov/sites/default/files/Spring%20Primary%202.17.15%20Results%20by%20Ward%20Report.xlsx	20150217__wi__special__primary__state_senate__20__precinct.xlsx
2014-11-04	general	county					http://www.gab.wi.gov/sites/default/files/County%20by%20County%20Report.xlsx	20141104__wi__general.xlsx
2014-11-04	general	precinct					http://www.gab.wi.gov/sites/default/files/11.4.2014%20Election%20Results%20-%20all%20offices%20w%20x%20w%20report.xlsx	20141104__wi__general__precinct.xlsx
2014-08-12	primary	county					http://www.gab.wi.gov/sites/default/files/All%20Offices%20-%20County%20by%20County%20Results%20%288.12.14%29.xls	20140812__wi__primary.xlsx
2014-08-12	primary	precinct			Statewide		http://www.gab.wi.gov/sites/default/files/Statewide%20Offices%20-%20Ward%20by%20Ward%20Results%20%288.12.14%29.xls	20140812__wi__primary__statewide__precinct.xlsx
2014-08-12	primary	precinct			U.S. House		http://www.gab.wi.gov/sites/default/files/Representative%20in%20Congress%20-%20Ward%20by%20Ward%20Results%20%288.12.14%29.xls	20140812__wi__primary__house__precinct.xlsx
2014-08-12	primary	precinct			State Senate		http://www.gab.wi.gov/sites/default/files/State%20Senator%20-%20Ward%20by%20Ward%20Results%20%288.12.14%29.xls	20140812__wi__primary__state_senate__precinct.xlsx
2014-08-12	primary	precinct			State House		http://www.gab.wi.gov/sites/default/files/Representative%20to%20the%20Assembly%20-%20Ward%20by%20Ward%20Results%20%288.12.14%29.xls	20140812__wi__primary__state_house__precinct.xlsx
2013-12-17	general	county		TRUE	State House	82	http://www.gab.wi.gov/sites/default/files/County%20Results%2012.17.13%20Special%20Election.Assembly%20Dist.%2082.xls	20131217__wi__special__general__state_house__82.xlsx
2013-12-17	general	precinct		TRUE	State House	82	http://www.gab.wi.gov/sites/default/files/Ward%20Results%2012.17.13%20Special%20Election.Assembly%20Dist.%2082.xls	20131217__wi__special__general__state_house__82__precinct.xlsx
2013-11-19	primary	precinct		TRUE	State House	82	http://www.gab.wi.gov/sites/default/files/Ward%20Results-11.19.13%20Primary-Assm%2082.xls	20131119__wi__special__primary__state_house__82__precinct.xlsx
2013-11-19	general	precinct		TRUE	State House	21	http://www.gab.wi.gov/sites/default/files/Ward%20Results-11.19.13%20Election-Assm%2021.xls	20131119__wi__special__general__state_house__21__precinct.xlsx
2013-11-19	general	precinct		TRUE	State House	69	http://www.gab.wi.gov/sites/default/files/Ward%20Results-11.19.13%20Special%20Election-Assm%2069.xls	20131119__wi__special__general__state_house__69__precinct.xlsx
2013-10-22	primary	precinct		TRUE	State House	21	http://www.gab.wi.gov/sites/default/files/Ward%20by%20Ward%20Results-10.22.13%20Assm%2021%20special%20primary.xls	20131022__wi__special__primary__state_house__21__precinct.xlsx
2013-10-22	primary	precinct		TRUE	State House	69	http://www.gab.wi.gov/sites/default/files/Ward%20by%20Ward%20Results-10.22.13%20Assm%2069%20special%20primary.xls	20131022__wi__special__primary__state_house__69__precinct.xlsx
2013-04-15	general	precinct		TRUE	State House	98	http://www.gab.wi.gov/sites/default/files/result/ward_by_ward_report_4_2_2013_assembly_98_xls_51899.xls	20130415__wi__special__general__state_house__98__precinct.xlsx
2013-03-06	primary	precinct		TRUE	State House	98	http://www.gab.wi.gov/sites/default/files/result/special_primary_assembly_98_results_by_ward_xls_13754.xls	20130306__wi__special__primary__state_house__98__precinct.xlsx
2012-12-04	general	precinct		TRUE	State Senate	33	http://www.gab.wi.gov/sites/default/files/ward%20results%20report_12.4.12%20sen%2033%20special%20election.xls	20121204__wi__special__general__state_senate__33__precinct.xlsx
2012-11-06	general	county					http://www.gab.wi.gov/sites/default/files/County%20by%20County_11.6.12.xls	20121106__wi__general.xlsx
2012-11-06	general	precinct					http://www.gab.wi.gov/sites/default/files/Ward%20by%20Ward%20Report_1.xlsx	20121106__wi__general__precinct.xlsx
