date,race_type,county,office,district,party,special,url,path
2014-11-04,general,,,,,,http://sos.mt.gov/Elections/2014/2014-General-Official-Statewide-Canvass.pdf,20141104__mt__general__county.csv
2014-06-03,primary,,,,,,http://sos.mt.gov/Elections/2014/2014-Primary-Official-Statewide-Canvass.pdf,20140603__mt__primary__county.csv
2012-11-06,general,,,,,,http://sos.mt.gov/Elections/2012/2012_General_Canvass.pdf,20121106__mt__general__county.csv
2012-06-05,primary,,,,,,http://sos.mt.gov/Elections/2012/Primary/2012_PRIMARY_STATEWIDE_CANVASS.PDF,20120605__mt__primary__county.csv
2010-11-02,general,,,,,,http://sos.mt.gov/Elections/Archives/2010s/2010/2010_General_Election_Official_Statewide_Canvass.pdf,
2010-06-08,primary,,,,,,http://sos.mt.gov/Elections/archives/2010s/2010/2010_Primary_Official_Statewide_Canvass.pdf,
2008-11-04,general,,,,,,http://sos.mt.gov/Elections/archives/2000s/2008/results/2008_State_General.pdf,
2008-06-03,primary,,,,,,http://sos.mt.gov/Elections/archives/2000s/2008/primary/2008_State_Primary.pdf,
2006-11-07,general,,,,,,http://sos.mt.gov/Elections/archives/2000s/2006/elections/general/2006_State_General_Final_Results.pdf,
2006-06-06,primary,,,,,,http://sos.mt.gov/Elections/archives/2000s/2006/elections/primary/2006_State_Primary.pdf,
2004-11-02,general,,,,,,http://sos.mt.gov/Elections/archives/2000s/2004/2004-GenState.pdf,
2004-06-08,primary,,,,,,http://sos.mt.gov/Elections/archives/2000s/2004/2004-PrimState.pdf,
2002-11-05,general,,,,,,http://sos.mt.gov/Elections/archives/2000s/2002/2002-GenState.pdf,
2002-06-04,primary,,,,,,http://sos.mt.gov/Elections/archives/2000s/2002/2002-PrimState.pdf,
2000-11-07,general,,,,,,http://sos.mt.gov/Elections/archives/2000s/2000/2000Gen/2000-GenState.pdf,
2000-06-06,primary,,,,,,http://sos.mt.gov/Elections/archives/2000s/2000/2000Prim/2000-PrimState.pdf,
