date,race_type,county,party,special,url,raw_extracted_filename,path
2012-11-06,general,Albany,,,http://soswy.state.wy.us/Elections/Docs/2012/Results/General/2012_Wyoming_General_Results.zip,2012_Albany_County_General_PbP.xlsx,
2012-11-06,general,Big Horn,,,http://soswy.state.wy.us/Elections/Docs/2012/Results/General/2012_Wyoming_General_Results.zip,2012_Big_Horn_County_General_PbP.xlsx,
2012-11-06,general,Campbell,,,http://soswy.state.wy.us/Elections/Docs/2012/Results/General/2012_Wyoming_General_Results.zip,2012_Campbell_County_General_PbP.xlsx,
2012-11-06,general,Carbon,,,http://soswy.state.wy.us/Elections/Docs/2012/Results/General/2012_Wyoming_General_Results.zip,2012_Carbon_County_General_PbP.xlsx,
2012-11-06,general,Converse,,,http://soswy.state.wy.us/Elections/Docs/2012/Results/General/2012_Wyoming_General_Results.zip,2012_Converse_County_General_PbP.xlsx,
2012-11-06,general,Crook,,,http://soswy.state.wy.us/Elections/Docs/2012/Results/General/2012_Wyoming_General_Results.zip,2012_Crook_County_General_PbP.xlsx,
2012-11-06,general,Fremont,,,http://soswy.state.wy.us/Elections/Docs/2012/Results/General/2012_Wyoming_General_Results.zip,2012_Fremont_County_General_PbP.xlsx,
2012-11-06,general,Goshen,,,http://soswy.state.wy.us/Elections/Docs/2012/Results/General/2012_Wyoming_General_Results.zip,2012_Goshen_County_General_PbP.xlsx,
2012-11-06,general,Hot Springs,,,http://soswy.state.wy.us/Elections/Docs/2012/Results/General/2012_Wyoming_General_Results.zip,2012_Hot_Springs_County_General_PbP.xlsx,
2012-11-06,general,Johnson,,,http://soswy.state.wy.us/Elections/Docs/2012/Results/General/2012_Wyoming_General_Results.zip,2012_Johnson_County_General_PbP.xlsx,
2012-11-06,general,Laramie,,,http://soswy.state.wy.us/Elections/Docs/2012/Results/General/2012_Wyoming_General_Results.zip,2012_Laramie_County_General_PbP.xlsx,
2012-11-06,general,Lincoln,,,http://soswy.state.wy.us/Elections/Docs/2012/Results/General/2012_Wyoming_General_Results.zip,2012_Lincoln_County_General_PbP.xlsx,
2012-11-06,general,Natrona,,,http://soswy.state.wy.us/Elections/Docs/2012/Results/General/2012_Wyoming_General_Results.zip,2012_Natrona_County_General_PbP.xlsx,
2012-11-06,general,Niobrara,,,http://soswy.state.wy.us/Elections/Docs/2012/Results/General/2012_Wyoming_General_Results.zip,2012_Niobrara_County_General_PbP.xlsx,
2012-11-06,general,Park,,,http://soswy.state.wy.us/Elections/Docs/2012/Results/General/2012_Wyoming_General_Results.zip,2012_Park_County_General_PbP.xlsx,
2012-11-06,general,Platte,,,http://soswy.state.wy.us/Elections/Docs/2012/Results/General/2012_Wyoming_General_Results.zip,2012_Platte_County_General_PbP.xlsx,
2012-11-06,general,Sheridan,,,http://soswy.state.wy.us/Elections/Docs/2012/Results/General/2012_Wyoming_General_Results.zip,2012_Sheridan_County_General_PbP.xlsx,
2012-11-06,general,Sublette,,,http://soswy.state.wy.us/Elections/Docs/2012/Results/General/2012_Wyoming_General_Results.zip,2012_Sublette_County_General_PbP.xlsx,
2012-11-06,general,Sweetwater,,,http://soswy.state.wy.us/Elections/Docs/2012/Results/General/2012_Wyoming_General_Results.zip,2012_Sweetwater_County_General_PbP.xlsx,
2012-11-06,general,Teton,,,http://soswy.state.wy.us/Elections/Docs/2012/Results/General/2012_Wyoming_General_Results.zip,2012_Teton_County_General_PbP.xlsx,
2012-11-06,general,Uinta,,,http://soswy.state.wy.us/Elections/Docs/2012/Results/General/2012_Wyoming_General_Results.zip,2012_Uinta_County_General_PbP.xlsx,
2012-11-06,general,Washakie,,,http://soswy.state.wy.us/Elections/Docs/2012/Results/General/2012_Wyoming_General_Results.zip,2012_Washakie_County_General_PbP.xlsx,
2012-11-06,general,Weston,,,http://soswy.state.wy.us/Elections/Docs/2012/Results/General/2012_Wyoming_General_Results.zip,2012_Weston_County_General_PbP.xlsx,
2012-08-21,primary,Albany,,,http://soswy.state.wy.us/Elections/Docs/2012/Results/Primary/2012_Wyoming_Primary_Results.zip,2012_Albany_County_Primary_PbP.xlsx,
2012-08-21,primary,Big Horn,,,http://soswy.state.wy.us/Elections/Docs/2012/Results/Primary/2012_Wyoming_Primary_Results.zip,2012_Big_Horn_County_Primary_PbP.xlsx,
2012-08-21,primary,Campbell,,,http://soswy.state.wy.us/Elections/Docs/2012/Results/Primary/2012_Wyoming_Primary_Results.zip,2012_Campbell_County_Primary_PbP.xlsx,
2012-08-21,primary,Carbon,,,http://soswy.state.wy.us/Elections/Docs/2012/Results/Primary/2012_Wyoming_Primary_Results.zip,2012_Carbon_County_Primary_PbP.xlsx,
2012-08-21,primary,Converse,,,http://soswy.state.wy.us/Elections/Docs/2012/Results/Primary/2012_Wyoming_Primary_Results.zip,2012_Converse_County_Primary_PbP.xlsx,
2012-08-21,primary,Crook,,,http://soswy.state.wy.us/Elections/Docs/2012/Results/Primary/2012_Wyoming_Primary_Results.zip,2012_Crook_County_Primary_PbP.xlsx,
2012-08-21,primary,Fremont,,,http://soswy.state.wy.us/Elections/Docs/2012/Results/Primary/2012_Wyoming_Primary_Results.zip,2012_Fremont_County_Primary_PbP.xlsx,
2012-08-21,primary,Goshen,,,http://soswy.state.wy.us/Elections/Docs/2012/Results/Primary/2012_Wyoming_Primary_Results.zip,2012_Goshen_County_Primary_PbP.xlsx,
2012-08-21,primary,Hot Springs,,,http://soswy.state.wy.us/Elections/Docs/2012/Results/Primary/2012_Wyoming_Primary_Results.zip,2012_Hot_Springs_County_Primary_PbP.xlsx,
2012-08-21,primary,Johnson,,,http://soswy.state.wy.us/Elections/Docs/2012/Results/Primary/2012_Wyoming_Primary_Results.zip,2012_Johnson_County_Primary_PbP.xlsx,
2012-08-21,primary,Laramie,,,http://soswy.state.wy.us/Elections/Docs/2012/Results/Primary/2012_Wyoming_Primary_Results.zip,2012_Laramie_County_Primary_PbP.xlsx,
2012-08-21,primary,Lincoln,,,http://soswy.state.wy.us/Elections/Docs/2012/Results/Primary/2012_Wyoming_Primary_Results.zip,2012_Lincoln_County_Primary_PbP.xlsx,
2012-08-21,primary,Natrona,,,http://soswy.state.wy.us/Elections/Docs/2012/Results/Primary/2012_Wyoming_Primary_Results.zip,2012_Natrona_County_Primary_PbP.xlsx,
2012-08-21,primary,Niobrara,,,http://soswy.state.wy.us/Elections/Docs/2012/Results/Primary/2012_Wyoming_Primary_Results.zip,2012_Niobrara_County_Primary_PbP.xlsx,
2012-08-21,primary,Park,,,http://soswy.state.wy.us/Elections/Docs/2012/Results/Primary/2012_Wyoming_Primary_Results.zip,2012_Park_County_Primary_PbP.xlsx,
2012-08-21,primary,Platte,,,http://soswy.state.wy.us/Elections/Docs/2012/Results/Primary/2012_Wyoming_Primary_Results.zip,2012_Platte_County_Primary_PbP.xlsx,
2012-08-21,primary,Sheridan,,,http://soswy.state.wy.us/Elections/Docs/2012/Results/Primary/2012_Wyoming_Primary_Results.zip,2012_Sheridan_County_Primary_PbP.xlsx,
2012-08-21,primary,Sublette,,,http://soswy.state.wy.us/Elections/Docs/2012/Results/Primary/2012_Wyoming_Primary_Results.zip,2012_Sublette_County_Primary_PbP.xlsx,
2012-08-21,primary,Sweetwater,,,http://soswy.state.wy.us/Elections/Docs/2012/Results/Primary/2012_Wyoming_Primary_Results.zip,2012_Sweetwater_County_Primary_PbP.xlsx,
2012-08-21,primary,Teton,,,http://soswy.state.wy.us/Elections/Docs/2012/Results/Primary/2012_Wyoming_Primary_Results.zip,2012_Teton_County_Primary_PbP.xlsx,
2012-08-21,primary,Uinta,,,http://soswy.state.wy.us/Elections/Docs/2012/Results/Primary/2012_Wyoming_Primary_Results.zip,2012_Uinta_County_Primary_PbP.xlsx,
2012-08-21,primary,Washakie,,,http://soswy.state.wy.us/Elections/Docs/2012/Results/Primary/2012_Wyoming_Primary_Results.zip,2012_Washakie_County_Primary_PbP.xlsx,
2012-08-21,primary,Weston,,,http://soswy.state.wy.us/Elections/Docs/2012/Results/Primary/2012_Wyoming_Primary_Results.zip,2012_Weston_County_Primary_PbP.xlsx,
2010-11-02,general,Albany,,,http://soswy.state.wy.us/Elections/Docs/2010/Results/General/Wyoming_General_Results.zip,2010_Albany_County_General_PbP.xlsx,
2010-11-02,general,Big Horn,,,http://soswy.state.wy.us/Elections/Docs/2010/Results/General/Wyoming_General_Results.zip,2010_Big_Horn_County_General_PbP.xlsx,
2010-11-02,general,Campbell,,,http://soswy.state.wy.us/Elections/Docs/2010/Results/General/Wyoming_General_Results.zip,2010_Campbell_County_General_PbP.xlsx,
2010-11-02,general,Carbon,,,http://soswy.state.wy.us/Elections/Docs/2010/Results/General/Wyoming_General_Results.zip,2010_Carbon_County_General_PbP.xlsx,
2010-11-02,general,Converse,,,http://soswy.state.wy.us/Elections/Docs/2010/Results/General/Wyoming_General_Results.zip,2010_Converse_County_General_PbP.xlsx,
2010-11-02,general,Crook,,,http://soswy.state.wy.us/Elections/Docs/2010/Results/General/Wyoming_General_Results.zip,2010_Crook_County_General_PbP.xlsx,
2010-11-02,general,Fremont,,,http://soswy.state.wy.us/Elections/Docs/2010/Results/General/Wyoming_General_Results.zip,2010_Fremont_County_General_PbP.xlsx,
2010-11-02,general,Goshen,,,http://soswy.state.wy.us/Elections/Docs/2010/Results/General/Wyoming_General_Results.zip,2010_Goshen_County_General_PbP.xlsx,
2010-11-02,general,Hot Springs,,,http://soswy.state.wy.us/Elections/Docs/2010/Results/General/Wyoming_General_Results.zip,2010_Hot_Springs_County_General_PbP.xlsx,
2010-11-02,general,Johnson,,,http://soswy.state.wy.us/Elections/Docs/2010/Results/General/Wyoming_General_Results.zip,2010_Johnson_County_General_PbP.xlsx,
2010-11-02,general,Laramie,,,http://soswy.state.wy.us/Elections/Docs/2010/Results/General/Wyoming_General_Results.zip,2010_Laramie_County_General_PbP.xlsx,
2010-11-02,general,Lincoln,,,http://soswy.state.wy.us/Elections/Docs/2010/Results/General/Wyoming_General_Results.zip,2010_Lincoln_County_General_PbP.xlsx,
2010-11-02,general,Natrona,,,http://soswy.state.wy.us/Elections/Docs/2010/Results/General/Wyoming_General_Results.zip,2010_Natrona_County_General_PbP.xlsx,
2010-11-02,general,Niobrara,,,http://soswy.state.wy.us/Elections/Docs/2010/Results/General/Wyoming_General_Results.zip,2010_Niobrara_County_General_PbP.xlsx,
2010-11-02,general,Park,,,http://soswy.state.wy.us/Elections/Docs/2010/Results/General/Wyoming_General_Results.zip,2010_Park_County_General_PbP.xlsx,
2010-11-02,general,Platte,,,http://soswy.state.wy.us/Elections/Docs/2010/Results/General/Wyoming_General_Results.zip,2010_Platte_County_General_PbP.xlsx,
2010-11-02,general,Sheridan,,,http://soswy.state.wy.us/Elections/Docs/2010/Results/General/Wyoming_General_Results.zip,2010_Sheridan_County_General_PbP.xlsx,
2010-11-02,general,Sublette,,,http://soswy.state.wy.us/Elections/Docs/2010/Results/General/Wyoming_General_Results.zip,2010_Sublette_County_General_PbP.xlsx,
2010-11-02,general,Sweetwater,,,http://soswy.state.wy.us/Elections/Docs/2010/Results/General/Wyoming_General_Results.zip,2010_Sweetwater_County_General_PbP.xlsx,
